date;Hours;Up;Down
26-01-2019;08 - 09;0;0
26-01-2019;09 - 10;0;0
26-01-2019;10 - 11;0;0
26-01-2019;11 - 12;0;0
26-01-2019;12 - 13;0;0
26-01-2019;13 - 14;0;0
26-01-2019;14 - 15;0;0
26-01-2019;15 - 16;0;0
26-01-2019;16 - 17;0;0
26-01-2019;17 - 18;0;0
26-01-2019;18 - 19;0;0
26-01-2019;19 - 20;0;0
26-01-2019;20 - 21;0;0
26-01-2019;21 - 22;0;0
26-01-2019;22 - 23;0;0
26-01-2019;23 - 00;0;0
27-01-2019;00 - 01;0;0
27-01-2019;01 - 02;0;0
27-01-2019;02 - 03;0;0
27-01-2019;03 - 04;0;0
27-01-2019;04 - 05;0;0
27-01-2019;05 - 06;0;0
27-01-2019;06 - 07;0;0
27-01-2019;07 - 08;0;0
27-01-2019;08 - 09;0;0
27-01-2019;09 - 10;4,3;0
27-01-2019;10 - 11;0;0
27-01-2019;11 - 12;0;0
27-01-2019;12 - 13;0;0
27-01-2019;13 - 14;0;0
27-01-2019;14 - 15;0;0
27-01-2019;15 - 16;0;0
27-01-2019;16 - 17;0;0
27-01-2019;17 - 18;0;0
27-01-2019;18 - 19;0;0
27-01-2019;19 - 20;0;0
27-01-2019;20 - 21;0;0
27-01-2019;21 - 22;0;0
27-01-2019;22 - 23;0;0
27-01-2019;23 - 00;0;0
28-01-2019;00 - 01;0;0
28-01-2019;01 - 02;0;0
28-01-2019;02 - 03;0;0
28-01-2019;03 - 04;0;0
28-01-2019;04 - 05;0;0
28-01-2019;05 - 06;0;0
28-01-2019;06 - 07;0;0
28-01-2019;07 - 08;0;0
28-01-2019;08 - 09;0;0
28-01-2019;09 - 10;0;0
28-01-2019;10 - 11;0;0
28-01-2019;11 - 12;105,3;0
28-01-2019;12 - 13;150,8;0
28-01-2019;13 - 14;151;0
28-01-2019;14 - 15;157,6;0
28-01-2019;15 - 16;174,2;0
28-01-2019;16 - 17;167,9;0
28-01-2019;17 - 18;0;236
28-01-2019;18 - 19;0;0
