date;Hours;Up;Down
19-01-2017;17 - 18;0;0
19-01-2017;18 - 19;0;0
19-01-2017;19 - 20;0;0
19-01-2017;20 - 21;0;0
19-01-2017;21 - 22;0;0
19-01-2017;22 - 23;0;0
19-01-2017;23 - 00;0;0
20-01-2017;00 - 01;0;0
20-01-2017;01 - 02;0;0
20-01-2017;02 - 03;0;0
20-01-2017;03 - 04;0;0
20-01-2017;04 - 05;0;0
20-01-2017;05 - 06;0;0
20-01-2017;06 - 07;0;0
20-01-2017;07 - 08;0;0
20-01-2017;08 - 09;0;0
20-01-2017;09 - 10;0;0
20-01-2017;10 - 11;0;0
20-01-2017;11 - 12;0;0
20-01-2017;12 - 13;0;0
20-01-2017;13 - 14;0;0
20-01-2017;14 - 15;0;0
20-01-2017;15 - 16;0;0
20-01-2017;16 - 17;0;0
20-01-2017;17 - 18;0;0
20-01-2017;18 - 19;0;0
20-01-2017;19 - 20;0;0
20-01-2017;20 - 21;0;0
20-01-2017;21 - 22;0;0
20-01-2017;22 - 23;0;0
20-01-2017;23 - 00;0;0
21-01-2017;00 - 01;0;0
21-01-2017;01 - 02;0;0
21-01-2017;02 - 03;0;0
21-01-2017;03 - 04;0;0
21-01-2017;04 - 05;0;0
21-01-2017;05 - 06;0;0
21-01-2017;06 - 07;0;0
21-01-2017;07 - 08;0;0
21-01-2017;08 - 09;0;0
21-01-2017;09 - 10;0;0
21-01-2017;10 - 11;0;0
21-01-2017;11 - 12;0;0
21-01-2017;12 - 13;0;0
21-01-2017;13 - 14;0;0
21-01-2017;14 - 15;0;0
21-01-2017;15 - 16;0;0
21-01-2017;16 - 17;0;0
21-01-2017;17 - 18;0;0
21-01-2017;18 - 19;0;0
21-01-2017;19 - 20;0;0
21-01-2017;20 - 21;0;0
21-01-2017;21 - 22;0;0
21-01-2017;22 - 23;0;0
21-01-2017;23 - 00;0;0
22-01-2017;00 - 01;0;0
22-01-2017;01 - 02;0;0
22-01-2017;02 - 03;0;0
22-01-2017;03 - 04;0;0
22-01-2017;04 - 05;0;0
22-01-2017;05 - 06;0;0
22-01-2017;06 - 07;0;0
22-01-2017;07 - 08;0;0
22-01-2017;08 - 09;0;0
22-01-2017;09 - 10;0;0
22-01-2017;10 - 11;0;0
22-01-2017;11 - 12;0;0
22-01-2017;12 - 13;0;0
22-01-2017;13 - 14;0;0
22-01-2017;14 - 15;0;0
22-01-2017;15 - 16;0;0
22-01-2017;16 - 17;0;0
22-01-2017;17 - 18;0;0
22-01-2017;18 - 19;0;0
22-01-2017;19 - 20;0;0
22-01-2017;20 - 21;0;0
22-01-2017;21 - 22;0;0
22-01-2017;22 - 23;0;0
22-01-2017;23 - 00;0;0
23-01-2017;00 - 01;0;0
23-01-2017;01 - 02;0;0
23-01-2017;02 - 03;0;0
23-01-2017;03 - 04;0;0
23-01-2017;04 - 05;0;0
23-01-2017;05 - 06;0;0
23-01-2017;06 - 07;0;0
23-01-2017;07 - 08;0;0
